Western	Isingiro		396700		19,070	66,490		12012			14		85	
Western	Kabale		490200		19,770	72,410		25854			16		117	
Western	Kabarole		403200		16,910	61,210		7593			15		66	
Western	Kamwenge		317000		14,880	52,390		7270			11		69	
Western	Kanungu		241800		11,050	39,170		12835			9		42	
Western	Kasese		695500		30,630	110,060		11904			22		114	 210 
Western	Kibaale		613300		31,930	110,410		16895			29		79	
Western	Kiruhura		280200		12,230	43,280		7557			15		59	
Western	Kiryandongo		285300		15,020	52,500		2786			7		11	
Western	Kisoro		247300		11,060	39,930		8567			13		34	 9 
Western	Kyegegwa		148500		7,940	26,780		18080			4		38	
Western	Kyenjojo		356200		16,960	60,330		14606			19		107	
Western	Masindi		316800		14,230	51,970		11483			6		47	 98 
Western	Mbarara		427200		17,180	62,090		25194			15		83	 74 
Western	Mitooma		188800		7,580	29,120		22217			10		58	
Western	Ntoroko		76000		4,480	13,210		10335			5		30	
Western	Ntungamo		458000		19,770	70,930		5379			14		89	 57 
Western	Rubirizi		119500		6,550	20,780		12903			8		48	
Western	Rukungiri		311600		13,120	47,710		11476			10		77	 48 
Western	Sheema		211400		8,360	30,930		2753			7		48	
